date,listings_property_id,listing_id,pending_id,county_fips,street_address,city,state,zip,listing_price,pending_price,days_in_contract
2025-04-04,-778913386522046507,-625050560573970327,-625050560573970327,53005.0,3877 Barbera St,RICHLAND,WA,99352,634900,634900,49
2025-04-04,-8505857080299602853,-1132551589899829891,-1132551589899829891,48213.0,716 Southoak Dr,ATHENS,TX,75751,158500,158500,0
2025-04-04,-5084907033257876163,4562206106312717588,4562206106312717588,48181.0,1736 Carter Lane,GUNTER,TX,75058,1900000,1900000,28
2025-04-04,5835546275915761934,-4413953723532844574,-4413953723532844574,6067.0,6731 Steele Oak Lane,CARMICHAEL,CA,95608,1399000,1399000,7
2025-04-04,-6684773299122760761,-6050942226727173945,-6050942226727173945,34001.0,273 W Koch,EGG HARBOR CITY,NJ,8215,331900,331900,7
2025-04-04,3782906275429675633,575452045662264845,575452045662264845,48303.0,4803 103Rd St,LUBBOCK,TX,79424,487500,487500,21
2025-04-04,3074297530250158826,-3385924147890759358,-3385924147890759358,37119.0,5635 Ruth Drive,CHARLOTTE,NC,28215,290000,290000,0
2025-04-04,3177222181193988125,982683981433302058,982683981433302058,15003.0,94-246 Leoku Street G126,WAIPAHU,HI,96797,417999,417999,0
2025-04-04,7992486732449455205,6392922648449166084,6392922648449166084,12021.0,5840 Standing Oaks Ln,NAPLES,FL,34119,1670000,1670000,0
2025-04-04,-221030692833317375,4828501783583245576,4828501783583245576,13247.0,3953 Woodland Circle Se,CONYERS,GA,30013,249000,249000,0
2025-04-04,-6449146355249104643,8393237938437265797,8393237938437265797,9001.0,34 Quail Road,GREENWICH,CT,6831,5495000,5495000,0
2025-04-04,-8010136328240911344,-1047636203617885817,-1047636203617885817,42079.0,22 E St. Mary'S Road,WILKES BARRE,PA,18706,234999,234999,0
2025-04-04,-7628158057395513912,-9194613002465000285,-9194613002465000285,4015.0,1800 Clubhouse Drive Unit 57,BULLHEAD CITY,AZ,86442,190000,190000,0
2025-04-04,-1447101026216071322,-2681699192962029185,-2681699192962029185,5091.0,1990 Mc 7,FOUKE,AR,71837,54700,54700,0
2025-04-04,-6387875483538656568,9013575278722025093,9013575278722025093,36103.0,52 Monterrey Drive,SAINT JAMES,NY,11780,1490000,1490000,0
2025-04-04,8675404098137690644,2911980527216688292,2911980527216688292,8001.0,3036 Oxley Street,STRASBURG,CO,80136,440900,440900,0
2025-04-04,721945776092790713,-7700232690547543683,-7700232690547543683,17089.0,2816 Beacon Point Circle,ELGIN,IL,60124,330000,330000,14
2025-04-04,-4366780735398976414,1325494226148122876,1325494226148122876,6065.0,41540 Peach Tree Ct,PALM DESERT,CA,92211,475000,475000,0
2025-04-04,1655922236283717634,-4991585887739487319,-4991585887739487319,24005.0,905 Barron Avenue,ESSEX,MD,21221,239997,239997,0
2025-04-04,-5411261802298223296,-100160840207406059,-100160840207406059,41067.0,1304 Se 29Th Ct,HILLSBORO,OR,97123,525000,525000,7
2025-04-04,5501162153151012993,1171823233905784801,1171823233905784801,6053.0,4095 Sunset Ln,PEBBLE BEACH,CA,93953,2150000,2150000,0
2025-04-04,-6931902337610100961,-7530501467720921951,-7530501467720921951,48251.0,427 Hidden Springs Drive,BURLESON,TX,76028,375000,375000,0
2025-04-04,1795256531219763920,4231019104196804936,4231019104196804936,35015.0,1710 Loretta Lane,CARLSBAD,NM,88220,430000,430000,7
2025-04-04,-4163668267966074070,2392936027275111807,2392936027275111807,6085.0,1629 Glenfield Drive,SAN JOSE,CA,95125,2089395,2089395,0
2025-04-04,-363383004642735150,1666052600371307079,1666052600371307079,12099.0,8233 White Rock Cir,BOYNTON BEACH,FL,33436,545995,545995,0
2025-04-04,1014014977909385779,5111386717599937907,5111386717599937907,6065.0,968 Linda Vista Drive,BANNING,CA,92220,399999,399999,0
2025-04-04,-1213943119451007724,-855166538416276637,-855166538416276637,6007.0,768 La Force Court,CHICO,CA,95973,960000,960000,0
2025-04-04,-8616597751586781812,2886959028534980862,2886959028534980862,6071.0,3914 Bur Oak Road,SAN BERNARDINO,CA,92407,649900,649900,14
2025-04-04,7895912754037303702,1463933433433810720,1463933433433810720,22033.0,150 Ocean Dr #2B,BATON ROUGE,LA,70806,111000,111000,0
2025-04-04,-7884598514435284982,-7701595508840986972,-7701595508840986972,17197.0,1600 Illini Drive,NEW LENOX,IL,60451,340000,340000,70
2025-04-04,134163740344199099,-4320823556605974630,-4320823556605974630,22051.0,8118 Landry Ave,NEW ORLEANS,LA,70123,670000,670000,0
2025-04-04,9021868213458480713,-8107678454729499764,-8107678454729499764,33015.0,9 Cornwall,EXETER,NH,3833,220000,220000,0
2025-04-04,-1908999010618585933,5748700947180350673,5748700947180350673,29221.0,10813 Mayo Ln,POTOSI,MO,63664,125500,125500,0
2025-04-04,-329229739459782289,-8158035766737067289,-8158035766737067289,48113.0,4407 Thunder Road,DALLAS,TX,75244,899500,899500,0
2025-04-04,2256227964235561593,-6669149809828088179,-6669149809828088179,19103.0,1971 Chelsea Ct,IOWA CITY,IA,52240,389000,389000,14
2025-04-04,500284477847403192,-1451238318302140957,-1451238318302140957,6073.0,7234 Via Mariposa Sur,BONSALL,CA,92003,1995000,1995000,0
2025-04-04,4207476479627167106,-7306579736881047024,-7306579736881047024,13135.0,1491 Hada Lane,LAWRENCEVILLE,GA,30044,579000,579000,0
2025-04-04,-2907449182889404491,-2663170378925426250,-2663170378925426250,6037.0,9900 S Santa Monica Boulevard 2A,BEVERLY HILLS,CA,90212,12000000,12250000,280
2025-04-04,984569482399607301,5456700115591421240,5456700115591421240,12009.0,1128 El Dorado Dr,ROCKLEDGE,FL,32955,240000,240000,7
2025-04-04,-8515351047262534874,-502083332402469179,-502083332402469179,12099.0,3959 Via Poinciana Apt 406,LAKE WORTH,FL,33467,124000,124000,0
2025-04-04,1411792450488332231,-8113388916814048280,-8113388916814048280,48091.0,1125 Nutmeg Trl,NEW BRAUNFELS,TX,78132,535900,535900,28
2025-04-04,-5826027739887100154,-128963789904807373,-128963789904807373,4013.0,24593 W St Catherine Avenue,BUCKEYE,AZ,85326,360900,360900,0
2025-04-04,-9070341372220398989,-2584564831653725660,-2584564831653725660,34029.0,2141 1St Avenue,TOMS RIVER,NJ,8757,640000,640000,0
2025-04-04,8795982259095770210,-5643804233532468043,-5643804233532468043,12097.0,2778 Almaton Loop #105,KISSIMMEE,FL,34747,345000,345000,49
2025-04-04,7012673333973079349,1106301173568124884,1106301173568124884,22071.0,6110 Dover Place,NEW ORLEANS,LA,70131,174900,174900,63
2025-04-04,-4449298183702972400,-2777353391147801777,-2777353391147801777,19103.0,10 Alydar Dr,NORTH LIBERTY,IA,52317,215000,215000,0
2025-04-04,-41424547488744319,7599764936349756353,7599764936349756353,29077.0,2997 Franz Sigel Street,REPUBLIC,MO,65738,429900,429900,0
2025-04-04,6086607168456303358,2189551645681562995,2189551645681562995,19181.0,2227 Legacy Dr,NORWALK,IA,50211,268990,268990,0
2025-04-04,-9176843969726483944,-3542009680262146962,-3542009680262146962,41017.0,3846 Ne Petrosa Ave,BEND,OR,97701,639900,639900,0
2025-04-04,-155909222803085431,8638225988466843749,8638225988466843749,19103.0,513 S Center St,LONE TREE,IA,52755,250000,250000,0
2025-04-04,-8751352014353032049,-3204591290106694405,-3204591290106694405,36119.0,595 Quaker Road,CHAPPAQUA,NY,10514,899000,899000,63
2025-04-04,-7455844431220823643,7456965611858632538,7456965611858632538,6061.0,13054 Torrey Pines,AUBURN,CA,95602,579000,579000,0
2025-04-04,1176486685413140985,1818930876296387944,1818930876296387944,19103.0,2244 E Grantview Dr,CORALVILLE,IA,52241,309900,309900,21
2025-04-04,-8225091358273483438,-2078935170285338368,-2078935170285338368,12111.0,265 Ne Mainsail Street,PORT SAINT LUCIE,FL,34983,344900,344900,0
2025-04-04,-8534589067062062399,-4555143844506713527,-4555143844506713527,55095.0,1008 135Th Avenue,AMERY,WI,54001,349000,349000,14
2025-04-04,-7138732282431191450,-8130707358359866953,-8130707358359866953,6013.0,2515 Mount Scenic Blvd,DIABLO,CA,94528,3149000,3149000,14
2025-04-04,-453292850457784671,-9065940245731302367,-9065940245731302367,29095.0,7319 Tracy Avenue,KANSAS CITY,MO,64131,224950,224950,0
2025-04-04,2491402356727988381,7097314320198732866,7097314320198732866,40143.0,8677 E 104Th Pl,TULSA,OK,74133,540000,540000,28
2025-04-04,4317704933562633707,6243514226376889130,6243514226376889130,46103.0,1361 E Oakland St,RAPID CITY,SD,57701,289000,289000,28
2025-04-04,-8058222436637094502,6129718179645770918,6129718179645770918,35025.0,1213 S Perry Drive,HOBBS,NM,88240,155000,155000,70
2025-04-04,4291452586829214748,4005912898415308214,4005912898415308214,29019,1400 Carolina Dr,COLUMBIA,MO,65202,350000,350000,0
2025-04-04,-5734120770829743279,-2765907703200439100,-2765907703200439100,45079,2 Radcot Ct,COLUMBIA,SC,29229,219000,219000,14
2025-04-04,3351577078956369392,3296070921565164242,3296070921565164242,21067,440 Larkwood Drive,LEXINGTON,KY,40509,269900,269900,0
2025-04-04,5840474348759717711,7367609616182301339,7367609616182301339,36059,608 Meadowbrook Road,MERRICK,NY,11566,1298000,1298000,28
2025-04-04,5480140950276115803,1414042341140696506,1414042341140696506,37183,129 Winchester Drive,WENDELL,NC,27591,390000,390000,0
2025-04-04,709421807400480384,-6709792485408672773,-6709792485408672773,12099,5063 Gooseberry St,WEST PALM BEACH,FL,33415,474990,474990,0
2025-04-04,-4353080394198475477,3788945359114188540,3788945359114188540,34025,502 Ludlow Avenue,SPRING LAKE,NJ,7762,1995000,1995000,0
2025-04-04,-7899276635493447151,-2395811832642838241,-2395811832642838241,31055,311 S 49Th Avenue,OMAHA,NE,68132,249000,249000,0
2025-04-04,-4501859359301988449,-2230428577036282670,-2230428577036282670,48201,11923 Pondwood Dr,CYPRESS,TX,77429,279000,279000,0
2025-04-04,-480423623671266831,-6256807011789558371,-6256807011789558371,5119,21 Windy Oaks,LITTLE ROCK,AR,72205,199900,199900,14
2025-04-04,-8336592341626134298,-5971716654796479207,-5971716654796479207,51059,1519 Woodcrest Drive,RESTON,VA,20194,475000,475000,0
2025-04-04,785225605749554508,4554266112632120010,4554266112632120010,37183,1421 Harvey Johnson Rd,RALEIGH,NC,27603,419900,419900,0
2025-04-04,6807354534746529327,4267354073402090544,4267354073402090544,54033,328 Lexington Circle,BRIDGEPORT,WV,26330,549000,549000,0
2025-04-04,-2781309032080777995,4161396523197055757,4161396523197055757,35015,3807 N Pat Garrett Road,CARLSBAD,NM,88220,358598,358598,175
2025-04-04,7711793319167179612,5072411230319779599,5072411230319779599,27003,6886 139Th Ln Nw Unit 8,ANOKA,MN,55303,250000,250000,0
2025-04-04,3585266956683149438,5714172092624171488,5714172092624171488,55033,N4479 410Th Street,MENOMONIE,WI,54751,425000,425000,28
2025-04-04,4202196878476515705,-1323756747419854208,-1323756747419854208,6037,5060 Gloria Avenue,ENCINO,CA,91436,6495000,6495000,0
2025-04-04,7404544954917940473,7805202614845572598,7805202614845572598,6065,723 Michelle St,BLYTHE,CA,92225,275000,275000,7
2025-04-04,-2588228418811549057,-1051260261594334796,-1051260261594334796,22017,844 Rose Lane,SHREVEPORT,LA,71118,139900,139900,0
2025-04-04,-194909494785791847,-3642533281808276324,-3642533281808276324,4013,16424 N 1St Drive,PHOENIX,AZ,85023,470000,470000,7
2025-04-04,-1732373130151779456,-6623590478732333284,-6623590478732333284,34013,279 De Rose Ct,WEST ORANGE,NJ,7052,779900,779900,42
2025-04-04,-7245371181317276460,3970371782335979197,3970371782335979197,48395,1703 Pine Street,HEARNE,TX,77859,188500,188500,0
2025-04-04,-781168372225412268,2560127460587126214,2560127460587126214,17111,970 Eineke Boulevard,ALGONQUIN,IL,60102,349990,349990,35
2025-04-04,-4052004633965087580,838054232273259647,838054232273259647,12099,15349 N 80Th Dr,PALM BEACH GARDENS,FL,33418,1175000,1175000,0
2025-04-04,-580729863290884648,4615968494732416342,4615968494732416342,19183,208 North Ridge Pl,KALONA,IA,52247,489900,489900,7
2025-04-04,1256599675032567298,-5549183649008454535,-5549183649008454535,6067,540 Kesner Avenue,SACRAMENTO,CA,95838,249900,249900,42
2025-04-04,-3428278706915375312,8019741886458798589,8019741886458798589,18093,6179 St Rd,BEDFORD,IN,47421,260000,260000,7
2025-04-04,2371074972575325867,-7779370046933429993,-7779370046933429993,12035,118 New Leatherwood Drive,PALM COAST,FL,32137,899000,899000,0
2025-04-04,63573963586362073,-2681981441738889971,-2681981441738889971,5091,299 Pr 1088,FOUKE,AR,71837,349900,349900,7
2025-04-04,-3468059275801799725,6693254011026462605,6693254011026462605,22073,502 Fortune Dr,MONROE,LA,71203,238500,238500,0
2025-04-04,8977732816605466411,-4676197725943231276,-4676197725943231276,17111,2100 Preswick Lane,WOODSTOCK,IL,60098,415000,415000,0
2025-04-04,2506773448824773296,8626942760749759605,8626942760749759605,19103,2053 Glen Oaks Dr,CORALVILLE,IA,52241,575000,575000,14
2025-04-04,-8590811835910136157,-8748524099028211293,-8748524099028211293,12005,920 Dewitt Street,PANAMA CITY,FL,32401,337500,337500,0
2025-04-04,7872299606336058665,-940017517871283752,-940017517871283752,12061,429 Perch Lane,SEBASTIAN,FL,32958,365000,365000,0
2025-04-04,-6973327563400644717,-6338343099691038159,-6338343099691038159,34007,944 Collings Road,CAMDEN,NJ,8104,179000,179000,0
2025-04-04,-9194691134398228214,-5753295627927417327,-5753295627927417327,8035,1000 Southbury Pl,HIGHLANDS RANCH,CO,80129,1800000,1800000,0
2025-04-04,4325234939567499190,4612157004482893488,4612157004482893488,40109,9630 E Reno Ave,MIDWEST CITY,OK,73130,85000,85000,0
2025-04-04,8365226258423575402,3976335690798360899,3976335690798360899,18093,9926 S Samantha,HELTONVILLE,IN,47436,499900,499900,21
2025-04-04,8126587600432529259,1896389447543345937,1896389447543345937,36081,"104-20 68Th Drive, Unit A14",FOREST HILLS,NY,11375,659000,659000,63
2025-04-04,6489157469875574281,-994077719364178384,-994077719364178384,47009,2943 Samples Rd,LOUISVILLE,TN,37777,385000,385000,0
2025-04-04,613464760474296033,-7401437746579752202,-7401437746579752202,41047,1212 Parkside Ave,WOODBURN,OR,97071,474900,474900,0
2025-04-04,436773722814234663,-3438995919707665134,-3438995919707665134,48027,7910 Timber Hollow Lane,TEMPLE,TX,76502,317250,317250,0
2025-04-04,3963108019715233118,-8104432253288123370,-8104432253288123370,31055,18165 Ogden Street,ELKHORN,NE,68022,365400,385700,0
2025-04-04,-6761427946719770677,-2172517797245747248,-2172517797245747248,45031,17285 Ruby Rd,HARTSVILLE,SC,29550,359900,359900,0
2025-04-04,-3536194915806186457,-7741627592529663928,-7741627592529663928,48251,1009 Brown Street,BURLESON,TX,76028,349000,349000,0
2025-04-04,5904812485088645913,412327164013729224,412327164013729224,36111,22 Madden Street,KINGSTON,NY,12401,168600,168600,0
2025-04-04,8940905495031164041,-2949616763607205591,-2949616763607205591,24510,2818 Mayfield,BALTIMORE,MD,21213,135000,135000,0
2025-04-04,5842065859317293863,-525536781615048912,-525536781615048912,54107,3501 10Th Avenue,VIENNA,WV,26105,62000,62000,0
2025-04-04,7215802398659229459,5776664468437096959,5776664468437096959,12009,475 Greenway Ave,SATELLITE BEACH,FL,32937,769900,769900,0
2025-04-04,4040051102188926374,-7684541237856474667,-7684541237856474667,12086,15445 Sw 119Th St,MIAMI,FL,33196,580000,580000,42
2025-04-04,7825898450251532480,8642000732502277478,8642000732502277478,12011,16266 Erie Pl,DAVIE,FL,33331,899999,899999,42
2025-04-04,1466799289270735331,-3644221241865559889,-3644221241865559889,48225,186 Cr 2304,GRAPELAND,TX,75844,359000,359000,14
2025-04-04,5967913323000729908,4683594667360996680,4683594667360996680,34001,1421 Ocean Ave,PLEASANTVILLE,NJ,8232,265000,265000,0
2025-04-04,-3447912616845265806,4731082148657335036,4731082148657335036,13121,3868 Whittington Dr Ne,ATLANTA,GA,30342,999900,999900,0
2025-04-04,-4754423041870472342,5216463398657940986,5216463398657940986,8041,8461 Glen Carriage Grv,COLORADO SPRINGS,CO,80920,560000,560000,7
2025-04-04,-8403240607723831251,-2898936599443005170,-2898936599443005170,54107,520 & 522 Ellis Avenue,PARKERSBURG,WV,26101,250000,250000,0
2025-04-04,822569058345252589,-4102279593854158288,-4102279593854158288,6067,8544 Travary Way,ANTELOPE,CA,95843,479500,479500,14
2025-04-04,4151064926759056459,5183500882384462902,5183500882384462902,17031,2500 Clinton Street,RIVER GROVE,IL,60171,262500,262500,42
2025-04-04,-5205972468740814944,1654355572050448992,1654355572050448992,37001,3565 Kirkland Court #108,BURLINGTON,NC,27217,589990,589990,21
2025-04-04,-2766336871597314242,-2325800091787039233,-2325800091787039233,6037,1036 Fries Avenue,WILMINGTON,CA,90744,599000,599000,0
2025-04-04,3273581608004532772,-6935124112929413146,-6935124112929413146,48467,1451 Fm. 1504,WILLS POINT,TX,75169,650000,650000,14
2025-04-04,-5116360280166984899,7914981202735367560,7914981202735367560,48201.0,2519 Teague Road,HOUSTON,TX,77080,625000,625000,0
2025-04-04,-4412036493767699088,7596717208193512312,7596717208193512312,26099.0,13443 Prospect Avenue,WARREN,MI,48089,149900,149900,0
2025-04-04,8152130322390545419,-8319277760184279541,-8319277760184279541,48201.0,2919 Barbee Street #4,HOUSTON,TX,77004,485000,485000,0
2025-04-04,7783893890027955743,4393588789577436903,4393588789577436903,37045.0,1245 Cleveland Avenue,GROVER,NC,28073,215000,215000,35
2025-04-04,5786039722368420408,-7064682687381619838,-7064682687381619838,17089.0,180 E Park Avenue #B,SUGAR GROVE,IL,60554,299900,299900,14
2025-04-04,8863638199710614253,8794790022145715226,8794790022145715226,48439.0,1704 Chisholm Trl,ARLINGTON,TX,76013,435000,435000,0
2025-04-04,4140388602362311201,1577029347957567121,1577029347957567121,12015.0,21224 Davison Avenue,PORT CHARLOTTE,FL,33954,249000,249000,0
2025-04-04,1997202554787415618,7560206852386091858,7560206852386091858,6037.0,1623 E Kettering Street,LANCASTER,CA,93535,399800,399800,14
2025-04-04,-4456723887383945695,8062436124463006064,8062436124463006064,12021.0,2606 Kings Lake Blvd #5-204,NAPLES,FL,34112,274900,274900,0
2025-04-04,-1651053865081194841,8106034566299326297,8106034566299326297,47165.0,1230 Mount Olive Rd,WESTMORELAND,TN,37186,335000,335000,0
2025-04-04,8886531066027067412,3143576321776689250,3143576321776689250,4021.0,3864 W Fairway Drive,ELOY,AZ,85131,239900,239900,14
2025-04-04,8384786181487126274,-334343565404973305,-334343565404973305,37051.0,645 Cresswell Moor Way,FAYETTEVILLE,NC,28311,482900,482900,0
2025-04-04,1959934442178663583,2530677993799991205,2530677993799991205,40091.0,23 Shamburg Dr,CHECOTAH,OK,74426,25000,25000,0
2025-04-04,-3651942595046538762,4765634086025970456,4765634086025970456,41067.0,15717 Nw Raywood Ln L 36,PORTLAND,OR,97229,757995,757995,35
2025-04-04,-6644657465701763427,-1430656292985868897,-1430656292985868897,12097.0,2404 Accord Terrace,KISSIMMEE,FL,34758,349900,349900,0
2025-04-04,-6055204365569874456,5592320913010634932,5592320913010634932,12081.0,12232 Perennial Pl,BRADENTON,FL,34211,749000,749000,0
2025-04-04,-5292343048280109004,6927292006795701210,6927292006795701210,12011.0,317 Nw 3Rd St,DEERFIELD BEACH,FL,33441,375000,375000,70
2025-04-04,8555811823213900473,-9185724018019720972,-9185724018019720972,36059.0,1450 Merritts Road,FARMINGDALE,NY,11735,500000,500000,63
2025-04-04,8708876510864554141,-807446811789803405,-807446811789803405,12086.0,9751 Nw 5Th Court,MIAMI,FL,33150,700000,700000,0
2025-04-04,3399964440570784635,-5913307875454111920,-5913307875454111920,48181.0,311 W Acheson Street,DENISON,TX,75020,225000,225000,7
2025-04-04,-3242486659836813402,-3330370450106273908,-3330370450106273908,30063.0,2433 Mount Avenue,MISSOULA,MT,59801,336500,336500,0
2025-04-04,1837364719649153957,-2479614781931890056,-2479614781931890056,12021.0,3780 Sawgrass Way #3334,NAPLES,FL,34112,249000,249000,0
2025-04-04,6586886492782009202,2337602670223518505,2337602670223518505,17097.0,26032 W Leland Avenue,ANTIOCH,IL,60002,400000,400000,7
2025-04-04,571646359537607767,-8086649917793798600,-8086649917793798600,22095.0,2180 Pebble Beach Drive,LA PLACE,LA,70068,239999,239500,21
